home_team,away_team,week,posteam,defteam,side_of_field,yardline_100,down,play_type,yards_gained,qb_kneel,qb_spike,qb_scramble,field_goal_result,extra_point_result,two_point_conv_result,td_team,epa,third_down_converted,fourth_down_converted,interception,penalty,fumble_lost,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,kickoff_attempt,complete_pass,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,fumbled_1_player_name,penalty_team,penalty_yards,result
TEN,ARI,1,TEN,ARI,TEN,67.0,3.0,pass,-8.0,0,0,0,,,,,-2.01618187921122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R.Tannehill,,,,,,,,,-25
TEN,ARI,1,TEN,ARI,TEN,75.0,4.0,punt,0.0,0,0,0,,,,,0.0064641546923667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-25
TEN,ARI,1,ARI,TEN,ARI,70.0,1.0,pass,-2.0,0,0,0,,,,,-1.00582301756367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,,,,,,,,-25
TEN,ARI,1,ARI,TEN,,,,,,0,0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-25
TEN,ARI,1,ARI,TEN,ARI,72.0,2.0,pass,10.0,0,0,0,,,,,0.790850034216419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,10.0,D.Hopkins,10.0,,,,,,-25
TEN,ARI,1,ARI,TEN,ARI,62.0,3.0,no_play,0.0,0,0,0,,,,,1.87502204370685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,TEN,17.0,-25
TEN,ARI,1,ARI,TEN,TEN,45.0,1.0,run,3.0,0,0,0,,,,,-0.394602840300649,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,3.0,,,,-25
TEN,ARI,1,ARI,TEN,TEN,42.0,2.0,run,10.0,0,0,0,,,,,1.08455537760165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C.Edmonds,10.0,,,,-25
TEN,ARI,1,ARI,TEN,TEN,32.0,1.0,pass,3.0,0,0,0,,,,,-0.18645564164035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,3.0,C.Kirk,3.0,,,,,,-25
TEN,ARI,1,ARI,TEN,TEN,29.0,2.0,run,7.0,0,0,0,,,,,0.890034197596833,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,7.0,,,,-25
TEN,ARI,1,ARI,TEN,TEN,22.0,1.0,run,7.0,0,0,0,,,,,-0.602467982564122,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Murray,7.0,,ARI,10.0,-25
TEN,ARI,1,ARI,TEN,TEN,25.0,1.0,run,8.0,0,0,0,,,,,0.728644912771415,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C.Edmonds,8.0,,,,-25
TEN,ARI,1,ARI,TEN,TEN,17.0,2.0,pass,17.0,0,0,0,,,,ARI,2.45453682047082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,K.Murray,17.0,D.Hopkins,17.0,,,,,,-25
TEN,ARI,1,ARI,TEN,TEN,15.0,,extra_point,0.0,0,0,0,,good,,,0.0675730031076331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,-25
TEN,ARI,1,TEN,ARI,ARI,35.0,,kickoff,0.0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,-25
