raw_name,normalized_name,position
B.Bates,BBates,TE
I.Likely,ILikely,TE
E.Engram,EEngram,TE
C.Woerner,CWoerner,TE
B.Sinnott,BSinnott,TE
B.Whiteheart,BWhiteheart,TE
N.Adkins,NAdkins,TE
H.Fannin,HFannin,TE
J.Bates,JBates,TE
T.Hudson,THudson,TE
D.Martin-Robinson,DMartinRobinson,TE
D.Waller,DWaller,TE
M.Andrews,MAndrews,TE
C.Runyon,CRunyon,TE
A.Barner,ABarner,TE
T.Conklin,TConklin,TE
T.Kraft,TKraft,TE
F.Franks,FFranks,TE
Ji.Horn,JiHorn,
Co.Heyward,CoHeyward,
K.Juszczyk,KJuszczyk,
X.Legette,XLegette,
W.Marks,WMarks,
D.Ogunbowale,DOgunbowale,
J.Warren,JWarren,
D.Samuel,DSamuel,
T.Bigsby,TBigsby,
R.Mostert,RMostert,
B.Irving,BIrving,
P.Durham,PDurham,
D.Njoku,DNjoku,
L.Wypler,LWypler,
S.Matlock,SMatlock,
C.Godwin,CGodwin,
T.Atwell,TAtwell,
L.McConkey,LMcConkey,
J.Jennings,JJennings,
Cas.Washington,CasWashington,
Z.Flowers,ZFlowers,
Z.Jones,ZJones,
Mi.Wilson,MiWilson,
P.Washington,PWashington,
B.Mann,BMann,
A.Ingold,AIngold,
D.Prescott,DPrescott,
B.Melton,BMelton,
J.Dobbs,JDobbs,
D.Lock,DLock,
J.Karty,JKarty,
M.Rudolph,MRudolph,
M.Stafford,MStafford,
B.Raimann,BRaimann,
A.Cappa,ACappa,
T.Lawrence,TLawrence,
C.Colby,CColby,
G.Bolles,GBolles,
C.Ham,CHam,
